"Date","Price","Open","High","Low","Change %"
"Sep 21","24.186","23.909","24.267","23.756","1.26%"
"Aug 21","23.885","25.540","26.035","22.525","-6.19%"
"Jul 21","25.460","26.123","26.780","24.485","-2.48%"
"Jun 21","26.108","28.062","28.560","25.530","-6.93%"
"May 21","28.051","25.925","28.765","25.800","8.31%"
"Apr 21","25.900","24.434","26.695","24.240","6.19%"
"Mar 21","24.390","26.650","27.105","23.780","-8.38%"
"Feb 21","26.620","28.295","30.075","25.895","-1.41%"
"Jan 21","27.001","26.400","27.930","24.200","2.44%"
"Dec 20","26.358","22.635","27.405","22.581","16.61%"
"Nov 20","22.604","23.655","26.006","21.897","-4.34%"
"Oct 20","23.630","23.225","25.575","22.580","1.81%"
"Sep 20","23.210","28.265","28.910","21.661","-17.75%"
"Aug 20","28.220","24.760","29.863","23.445","15.80%"
"Jul 20","24.370","18.170","26.205","17.760","34.42%"
"Jun 20","18.130","17.885","18.439","16.955","1.63%"
"May 20","17.840","14.948","17.935","14.710","18.77%"
"Apr 20","15.020","13.970","15.860","13.805","7.52%"
"Mar 20","13.970","16.690","17.589","11.640","-16.15%"
"Feb 20","16.662","18.050","18.963","16.385","-7.60%"
"Jan 20","18.031","17.850","18.855","17.374","1.13%"
"Dec 19","17.830","16.995","18.170","16.516","4.76%"
"Nov 19","17.020","18.115","18.250","16.638","-6.10%"
"Oct 19","18.125","17.001","18.353","16.878","6.65%"
"Sep 19","16.995","18.430","19.671","16.914","-7.38%"
"Aug 19","18.350","16.255","18.675","15.908","12.89%"
"Jul 19","16.255","15.335","16.672","14.878","6.19%"
"Jun 19","15.307","14.593","15.575","14.564","5.06%"
"May 19","14.570","14.945","15.002","14.278","-2.44%"
"Apr 19","14.935","15.130","15.349","14.737","-1.32%"
"Mar 19","15.135","15.600","15.662","14.963","-3.00%"
"Feb 19","15.603","16.066","16.242","15.479","-2.88%"
"Jan 19","16.065","15.495","16.212","15.163","3.78%"
"Dec 18","15.480","14.275","15.533","14.201","9.24%"
"Nov 18","14.171","14.265","14.931","13.875","-0.35%"
"Oct 18","14.221","14.670","14.929","14.228","-2.60%"
"Sep 18","14.600","14.533","14.744","13.924","0.69%"
"Aug 18","14.500","15.556","15.576","14.322","-6.54%"
"Jul 18","15.514","16.105","16.242","15.156","-3.52%"
"Jun 18","16.080","16.428","17.338","15.903","-1.65%"
"May 18","16.350","16.338","16.847","16.049","0.26%"
"Apr 18","16.308","16.365","17.367","16.181","-0.07%"
"Mar 18","16.319","16.409","16.876","16.115","-0.52%"
"Feb 18","16.405","17.336","17.414","16.191","-5.23%"
"Jan 18","17.310","16.976","17.708","16.743","2.15%"
"Dec 17","16.946","16.437","17.131","15.611","3.20%"
"Nov 17","16.420","16.718","17.392","16.311","-1.62%"
"Oct 17","16.690","16.656","17.492","16.320","0.51%"
"Sep 17","16.605","17.602","18.226","16.612","-5.47%"
"Aug 17","17.566","16.833","17.683","16.118","4.62%"
"Jul 17","16.790","16.639","16.895","14.878","1.33%"
"Jun 17","16.570","17.328","17.770","16.351","-4.14%"
"May 17","17.286","17.221","17.496","16.041","0.56%"
"Apr 17","17.190","18.253","18.667","17.149","-5.65%"
"Mar 17","18.220","18.309","18.490","16.810","-0.47%"
"Feb 17","18.306","17.570","18.501","17.255","4.43%"
