Date,Rate
31/07/2020,0.62
30/06/2020,0.73
31/05/2020,0.67
30/04/2020,0.66
31/03/2020,0.87
29/02/2020,1.5
31/01/2020,1.76
31/12/2019,1.86
30/11/2019,1.81
31/10/2019,1.71
30/09/2019,1.7
31/08/2019,1.63
31/07/2019,2.06
30/06/2019,2.07
31/05/2019,2.4
30/04/2019,2.53
31/03/2019,2.57
28/02/2019,2.68
31/01/2019,2.71
31/12/2018,2.83
30/11/2018,3.12
31/10/2018,3.15
30/09/2018,3
31/08/2018,2.89
31/07/2018,2.89
30/06/2018,2.91
31/05/2018,2.98
30/04/2018,2.87
31/03/2018,2.84
28/02/2018,2.86
31/01/2018,2.58
31/12/2017,2.4
30/11/2017,2.35
31/10/2017,2.36
30/09/2017,2.2
31/08/2017,2.21
31/07/2017,2.32
30/06/2017,2.19
31/05/2017,2.3
30/04/2017,2.3
31/03/2017,2.48
28/02/2017,2.42
31/01/2017,2.43
31/12/2016,2.49
30/11/2016,2.14
31/10/2016,1.76
30/09/2016,1.63
31/08/2016,1.56
31/07/2016,1.5
30/06/2016,1.64
31/05/2016,1.81
30/04/2016,1.81
31/03/2016,1.89
29/02/2016,1.78
31/01/2016,2.09
31/12/2015,2.24
30/11/2015,2.26
31/10/2015,2.07
30/09/2015,2.17
31/08/2015,2.17
31/07/2015,2.32
30/06/2015,2.36
31/05/2015,2.2
30/04/2015,1.94
31/03/2015,2.04
28/02/2015,1.98
31/01/2015,1.88
31/12/2014,2.21
30/11/2014,2.33
31/10/2014,2.3
30/09/2014,2.53
31/08/2014,2.42
31/07/2014,2.54
30/06/2014,2.6
31/05/2014,2.56
30/04/2014,2.71
31/03/2014,2.72
28/02/2014,2.71
31/01/2014,2.86
31/12/2013,2.9
30/11/2013,2.72
31/10/2013,2.62
30/09/2013,2.81
31/08/2013,2.74
31/07/2013,2.58
30/06/2013,2.3
31/05/2013,1.93
30/04/2013,1.76
31/03/2013,1.96
28/02/2013,1.98
31/01/2013,1.91
31/12/2012,1.72
30/11/2012,1.65
31/10/2012,1.75
30/09/2012,1.72
31/08/2012,1.68
31/07/2012,1.53
30/06/2012,1.62
31/05/2012,1.8
30/04/2012,2.05
31/03/2012,2.17
29/02/2012,1.97
31/01/2012,1.97
31/12/2011,1.98
30/11/2011,2.01
31/10/2011,2.15
30/09/2011,1.98
31/08/2011,2.3
31/07/2011,3
30/06/2011,3
31/05/2011,3.17
30/04/2011,3.46
31/03/2011,3.41
28/02/2011,3.58
31/01/2011,3.39
31/12/2010,3.29
30/11/2010,2.76
31/10/2010,2.54
30/09/2010,2.65
31/08/2010,2.7
31/07/2010,3.01
