Date,Price
Feb-21,1.407
Jan-21,1.071
Dec-20,0.916
Nov-20,0.842
Oct-20,0.874
Sep-20,0.686
Aug-20,0.706
Jul-20,0.533
Jun-20,0.658
May-20,0.653
Apr-20,0.646
Mar-20,0.668
Feb-20,1.163
Jan-20,1.505
Dec-19,1.919
Nov-19,1.774
Oct-19,1.688
Sep-19,1.668
Aug-19,1.499
Jul-19,2.007
Jun-19,2.007
May-19,2.133
Apr-19,2.504
Mar-19,2.407
Feb-19,2.717
Jan-19,2.633
Dec-18,2.686
Nov-18,2.993
Oct-18,3.149
Sep-18,3.065
Aug-18,2.86
Jul-18,2.962
Jun-18,2.86
May-18,2.86
Apr-18,2.955
Mar-18,2.741
Feb-18,2.864
Jan-18,2.713
Dec-17,2.405
Nov-17,2.415
Oct-17,2.378
Sep-17,2.339
Aug-17,2.121
Jul-17,2.296
Jun-17,2.304
May-17,2.206
Apr-17,2.289
Mar-17,2.389
Feb-17,2.397
Jan-17,2.466
Dec-16,2.446
Nov-16,2.39
Oct-16,1.826
Sep-16,1.598
Aug-16,1.578
Jul-16,1.45
Jun-16,1.475
May-16,1.851
Apr-16,1.835
Mar-16,1.77
Feb-16,1.738
Jan-16,1.923
Dec-15,2.269
Nov-15,2.208
Oct-15,2.146
Sep-15,2.035
Aug-15,2.214
Jul-15,2.187
Jun-15,2.349
May-15,2.123
Apr-15,2.035
Mar-15,1.927
Feb-15,1.997
Jan-15,1.639
Dec-14,2.17
Nov-14,2.173
Oct-14,2.335
Sep-14,2.495
Aug-14,2.345
Jul-14,2.562
Jun-14,2.532
May-14,2.475
Apr-14,2.646
Mar-14,2.719
Feb-14,2.649
Jan-14,2.644
Dec-13,3.026
Nov-13,2.746
Oct-13,2.552
Sep-13,2.615
Aug-13,2.789
Jul-13,2.588
Jun-13,2.487
May-13,2.132
Apr-13,1.673
Mar-13,1.852
Feb-13,1.881
Jan-13,1.985
Dec-12,1.757
Nov-12,1.616
Oct-12,1.694
Sep-12,1.633
Aug-12,1.548
Jul-12,1.47
Jun-12,1.643
May-12,1.563
Apr-12,1.919
Mar-12,2.214
Feb-12,1.974
Jan-12,1.795
Dec-11,1.876
Nov-11,2.072
Oct-11,2.116
Sep-11,1.917
Aug-11,2.234
Jul-11,2.793
Jun-11,3.16
May-11,3.059
Apr-11,3.29
Mar-11,3.47
Feb-11,3.422
Jan-11,3.374
Dec-10,3.288
Nov-10,2.797
Oct-10,2.603
Sep-10,2.512
Aug-10,2.47
Jul-10,2.905
Jun-10,2.935
May-10,3.303
Apr-10,3.659
Mar-10,3.833
Feb-10,3.619
Jan-10,3.588
Dec-09,3.837
Nov-09,3.198
Oct-09,3.388
Sep-09,3.305
Aug-09,3.401
Jul-09,3.482
Jun-09,3.537
May-09,3.461
Apr-09,3.119
Mar-09,2.668
Feb-09,3.021
Jan-09,2.851
Dec-08,2.22
Nov-08,2.92
Oct-08,3.97
Sep-08,3.829
Aug-08,3.825
Jul-08,3.958
Jun-08,3.975
May-08,4.067
Apr-08,3.734
Mar-08,3.421
Feb-08,3.519
Jan-08,3.597
Dec-07,4.035
Nov-07,3.949
Oct-07,4.473
Sep-07,4.594
Aug-07,4.527
Jul-07,4.733
Jun-07,5.027
May-07,4.892
Apr-07,4.628
Mar-07,4.648
Feb-07,4.577
Jan-07,4.814
Dec-06,4.7
Nov-06,4.462
Oct-06,4.604
Sep-06,4.633
Aug-06,4.732
Jul-06,4.988
Jun-06,5.145
May-06,5.123
Apr-06,5.057
Mar-06,4.853
Feb-06,4.557
Jan-06,4.519
Dec-05,4.395
Nov-05,4.49
Oct-05,4.557
